provider_id,npi,first_name,last_name,full_name,specialty,phone,email,address,city,state,zip_code,license_number,license_state,license_expiry,board_certified,accepting_new_patients,years_in_practice,medical_school,graduation_year,hospital_affiliations,languages,data_quality_issue,last_updated,record_status,has_pdf_documents
1,8890066310,Danielle,Johnson,Dr. Danielle Johnson,Family Medicine,533-521-8196x001,danielle.johnson@guzman.net,79402 Peterson Drives Apt. 511,Davisstad,FL,79632,NY128032,FL,2027-05-27,True,True,34,Roman-Blair Medical School,1981,"Martinez, Nielsen and Miller Hospital, Calderon-Montgomery Hospital",French,,2025-07-13,active,False
2,5250529286,Michelle,Ray,Dr. Michelle Ray,Neurology,001-410-734-1316x475,michelle.ray@clark-adams.com,327 Nelson Route,Lake Mark,NY,07832,GA225474,GA,2028-07-17,False,False,38,Underwood LLC Medical School,2004,"Adams-Clark Hospital, Walter, Edwards and Rios Hospital, Wilkerson-Day Hospital","Spanish, Chinese, English",,2024-10-02,active,True
3,2579642475,Douglas,Taylor,Dr. Douglas Taylor,Rheumatology,001-388-249-6965x3287,old_meagan89@example.org,6978 Maddox Wall,Lake Jenniferside,CA,98920,NC502210,PA,2027-09-28,True,False,27,Mack-Peterson Medical School,1990,"Graham-Chavez Hospital, Liu, Baker and Mason Hospital, Romero Inc Hospital",Spanish,Email may be inactive,2024-07-16,active,False
4,8942577767,Eric,Farmer,Dr. Eric Farmer,Ophthalmology,+1-680-595-7015,eric.farmer@allen.com,718 David Mountains,West Allison,OH,80008,PA674805,IL,2028-02-23,False,True,38,Brandt-Hickman Medical School,1996,"Vaughn, Marquez and Ross Hospital, Santos, Kim and Holmes Hospital, Wright Inc Hospital",Arabic,,2023-11-06,active,False
5,3365656181,Matthew,Chapman,Dr. Matthew Chapman,Endocrinology,793.301.0310,matthew.chapman@young.com,76311 Gomez Loop Suite 010,Chandlerville,FL,33092,FL113092,CA,2027-10-17,True,True,7,Lee Group Medical School,2006,"Henderson LLC Hospital, Wright-Leblanc Hospital, Morton-Chase Hospital","Spanish, Arabic, French",Provider may have relocated,2025-02-23,active,True
6,9966451311,Corey,Pearson,Dr. Corey Pearson,Pathology,+1-801-232-6773,corey.pearson@gray.com,6872 Kenneth Centers Apt. 500,Shawhaven,FL,21136,NY992821,MI,2026-07-06,True,True,19,Yu Inc Medical School,2012,"Jones Inc Hospital, Hensley, Powell and David Hospital, Sanchez, Wheeler and Harvey Hospital",Chinese,,2024-12-27,active,True
7,5647015739,Robert,Silva,Dr. Robert Silva,Anesthesiology,954.335.3462x47510,robert.silva@medina.com,1354 Samuel Plains,Cherylhaven,CA,01526,CA382630,CA,2025-04-02,False,True,34,"Montoya, Evans and Alvarado Medical School",2002,"Baker Inc Hospital, Tran, Nelson and Jacobs Hospital, Cooper, Watts and Farrell Hospital",Spanish,License may be expired,2023-11-04,active,False
8,1548450767,William,King,Dr. William King,Radiology,4169400524,william.king@thornton.com,9826 Bobby Lakes,West Jasonbury,GA,87917,NC782935,MI,2026-03-02,False,True,11,Gomez PLC Medical School,2011,"Dickson-Brady Hospital, Hancock and Sons Hospital, Johnson-Doyle Hospital","French, Arabic, Spanish",Specialty verification needed,2024-12-09,active,False
9,8677225012,Martin,Galvan,Dr. Martin Galvan,Rheumatology,+1-534-221-6073x37543,martin.galvan@lee.com,868 Crosby Crescent Suite 294,North Candacestad,CA,95992,CA353376,TX,2025-07-01,False,True,25,Graham-Joyce Medical School,2020,Cruz PLC Hospital,Hindi,License may be expired,2025-10-13,active,True
10,9494237125,James,Williams,Dr. James Williams,Emergency Medicine,(608)883-5615x95148,james.williams@powell-phillips.com,34332 Brandon Mountains Apt. 769,Lake Heather,CA,76520,CA992588,TX,2027-07-21,True,True,23,"Pena, Marshall and Ramos Medical School",2003,"Dixon Ltd Hospital, Hopkins LLC Hospital","Hindi, English, Arabic",Address verification needed,2024-08-06,active,True
11,4097736319,Troy,Sanchez,Dr. Troy Sanchez,Cardiology,+1-401-963-2870x8317,troy.sanchez@schmidt.info,727 Green Gateway Suite 873,Scottport,FL,31236,PA177642,FL,2025-03-10,True,True,20,Rogers-Orozco Medical School,1996,"Taylor and Sons Hospital, Benson-Mccarthy Hospital, Perry LLC Hospital",Spanish,License may be expired,2025-01-02,active,False
12,5648144885,Amy,Perry,Dr. Amy Perry,Psychiatry,766.690.9670,amy.perry@castaneda-ashley.biz,3467 Paul Skyway,Ramseymouth,OH,17229,CA618630,PA,2024-11-07,True,False,38,"Ferguson, Meadows and Vargas Medical School",2013,"Johnson, Day and Taylor Hospital, White-Green Hospital, Lewis-Murphy Hospital","English, Chinese",License may be expired,2025-07-20,active,True
13,3437689989,Kathleen,Gray,Dr. Kathleen Gray,Anesthesiology,001-564-217-0805x31003,kathleen.gray@hernandez.org,4529 Kimberly Estates,Danieltown,NC,41389,GA138444,MI,2027-05-21,False,True,17,"Byrd, Rubio and Sanders Medical School",1990,"Gonzalez, Vargas and Rivas Hospital, Garcia LLC Hospital","Chinese, Arabic",,2023-12-18,active,True
14,5500193939,Melissa,Burke,Dr. Melissa Burke,Radiology,790-258-6518,melissa.burke@short-garcia.com,262 Gilbert Plain Suite 769,Marcusbury,GA,11860,PA647511,IL,2026-04-30,True,False,9,Keith-Sanchez Medical School,1994,"Hudson-Barnett Hospital, Johnson-Rosales Hospital, Freeman LLC Hospital","English, Hindi",,2024-11-23,active,False
15,4938821136,Lauren,Peterson,Dr. Lauren Peterson,Pulmonology,+1-948-908-3136x783,lauren.peterson@mcguire-davis.com,349 Kennedy Pines Suite 685,Jacquelineview,MI,40690,MI345449,GA,2026-04-24,True,True,5,Hall-Griffith Medical School,1999,"Wilson-Herrera Hospital, Lopez, Robinson and Washington Hospital, Lawrence, Wolf and Carlson Hospital","Arabic, Chinese, English",,2024-11-20,active,False
16,3377199329,Tina,Wall,Dr. Tina Wall,Obstetrics & Gynecology,435-924-0824x0084,tina.wall@salas.com,7520 Everett Neck Apt. 167,New Crystalton,IL,20388,TX516291,PA,2028-01-30,True,True,27,Shepherd LLC Medical School,2008,"Mcknight Inc Hospital, Duran, Obrien and Gibbs Hospital",French,,2023-11-09,active,False
17,5202172566,Jeremiah,Mills,Dr. Jeremiah Mills,Pulmonology,574.696.4990x913,jeremiah.mills@miller.com,7974 Jesse Squares,Jacquelinemouth,FL,09830,TX997034,NY,2028-02-01,False,True,12,"Hall, Baker and Moody Medical School",2006,"Guerrero, Peck and Coleman Hospital","Hindi, French",,2025-05-27,active,True
18,2348574243,Amy,Holland,Dr. Amy Holland,Internal Medicine,621-802-4994x717,amy.holland@mason-snyder.com,5940 Jeremy Spring,Port Emilyview,FL,76030,MI809540,FL,2025-11-28,False,False,29,Hines and Sons Medical School,1992,"Stone-Ramos Hospital, White-Richards Hospital, Olsen, Costa and Harrison Hospital","Chinese, Hindi, French",,2024-01-12,active,True
19,1946498007,Ricky,Morris,Dr. Ricky Morris,Anesthesiology,925-367-4680,ricky.morris@king-wilson.biz,248 Andrea Course,Port Robin,GA,27181,NC529808,IL,2027-01-13,False,False,36,Dunn-Pennington Medical School,2008,"Gilmore-Washington Hospital, Dudley PLC Hospital","Arabic, French",Address verification needed,2024-05-20,active,False
20,8987325754,Steven,Wilson,Dr. Steven Wilson,Internal Medicine,(974)484-6773,steven.wilson@lee-greene.com,6584 Justin Hills,Grimesmouth,FL,71093,FL462169,TX,2027-11-09,False,True,7,Reed-Arnold Medical School,1985,"Bennett, Cantu and Kane Hospital",Chinese,,2024-09-11,active,True
