provider_id,npi,first_name,last_name,full_name,specialty,phone,email,address,city,state,zip_code,license_number,license_state,license_expiry,board_certified,accepting_new_patients,years_in_practice,medical_school,graduation_year,hospital_affiliations,languages,data_quality_issue,last_updated,record_status,has_pdf_documents
1,1790861692,Danielle,Johnson,Dr. Danielle Johnson,Emergency Medicine,533-521-8196x001,danielle.johnson@guzman.net,341 Michelle Light,Shawnstad,FL,79632,PA529256,TX,2027-10-31,True,True,34,Roman-Blair Medical School,2016,"Martinez, Nielsen and Miller Hospital, Calderon-Montgomery Hospital, Ray-Bush Hospital","Chinese, Arabic",Address verification needed,2024-05-17,active,False
2,9955662178,Francisco,Kelly,Dr. Francisco Kelly,Family Medicine,+1-241-592-8327x64835,francisco.kelly@trujillo.com,95376 Thomas Dam,Lake Anna,TX,34939,MI609715,PA,2028-05-07,False,False,29,"Richards, Hurst and Ross Medical School",1983,"Osborn and Sons Hospital, Snyder, Campos and Callahan Hospital, Burton Ltd Hospital","Spanish, Arabic, Chinese",,2024-08-02,active,True
3,9756746998,Robert,Brown,Dr. Robert Brown,Endocrinology,(897)484-8018x4514,robert.brown@smith-bowen.com,148 Eric Track,New Stephanie,FL,70015,GA148741,NY,2026-04-29,False,False,4,George Group Medical School,2008,Rodriguez LLC Hospital,Hindi,,2023-11-05,active,True
4,9414118013,Natasha,Decker,Dr. Natasha Decker,Orthopedic Surgery,430-639-1171x8227,natasha.decker@brennan.net,465 Lam Mission,East Jeffreymouth,CA,03258,OH254470,FL,2025-12-07,False,True,13,"Spencer, Chapman and Smith Medical School",2010,"Welch, Perez and Whitehead Hospital, Jones-Young Hospital, Washington, Ryan and Cummings Hospital","English, Hindi, Chinese",Specialty verification needed,2024-03-19,active,True
5,2171784433,Nicole,Johnston,Dr. Nicole Johnston,Endocrinology,876.931.1656,old_michellebarrera@example.org,513 James Mission Apt. 624,Wrightland,CA,58583,MI649286,MI,2027-05-28,True,False,22,"Garcia, Pearson and Fernandez Medical School",2007,"Novak and Sons Hospital, Russell Group Hospital","Chinese, Hindi, Arabic",Email may be inactive,2024-12-01,active,False
6,7901220642,Nicholas,Galloway,Dr. Nicholas Galloway,Psychiatry,274-768-7234x309,nicholas.galloway@williams.net,81219 Emma Freeway,Wilsonshire,OH,32772,FL117092,OH,2025-01-15,False,False,3,"Wheeler, Harvey and Barnes Medical School",2019,"Cunningham, Stewart and Green Hospital","French, English",License may be expired,2024-11-15,active,True
7,6471587516,Elizabeth,Edwards,Dr. Elizabeth Edwards,Radiology,362-547-5107x991,elizabeth.edwards@baker.com,2784 Elizabeth Plaza Suite 124,North Juliaberg,PA,36198,TX997695,NY,2026-06-26,True,False,8,Jacobs-Robbins Medical School,1987,"Watts LLC Hospital, Freeman, Whitehead and Mathis Hospital, Walters LLC Hospital","French, Hindi, Arabic",,2024-04-20,active,True
8,6690503231,Bradley,Cook,Dr. Bradley Cook,Orthopedic Surgery,(342)478-6801,bradley.cook@johnson.biz,45053 Elizabeth Knoll,Dicksonberg,OH,31530,TX297213,FL,2027-07-14,False,False,11,Cherry and Sons Medical School,1991,Johnson-Doyle Hospital,"French, Hindi",Provider may have relocated,2024-11-07,active,False
9,8646603487,Martin,Galvan,Dr. Martin Galvan,Ophthalmology,+1-534-221-6073x37543,martin.galvan@lee.com,868 Crosby Crescent Suite 294,North Candacestad,MI,95992,MI336654,IL,2028-01-24,False,True,21,Graham-Joyce Medical School,1990,Cruz PLC Hospital,"French, Chinese",,2024-04-25,active,True
10,8069825041,James,Williams,Dr. James Williams,Gastroenterology,(608)883-5615x95148,james.williams@powell-phillips.com,6299 Sullivan Village,West Justinchester,TX,76520,FL194624,FL,2028-09-16,False,False,9,"Pena, Marshall and Ramos Medical School",1987,"Dixon Ltd Hospital, Hopkins LLC Hospital, Beck, Harvey and Davis Hospital","Hindi, English",,2024-09-29,active,True
11,7837578152,Stephanie,Young,Dr. Stephanie Young,Neurology,533-820-0379x1769,stephanie.young@ross-hernandez.com,3287 Angela Vista,South Dennismouth,NC,88001,PA973314,OH,2028-02-23,False,False,36,"Travis, Larson and Dodson Medical School",2010,Salazar-Ball Hospital,Arabic,,2024-08-27,active,True
12,9815401320,William,Rivas,Dr. William Rivas,Orthopedic Surgery,+1-972-577-4348,william.rivas@gonzales-reeves.com,54668 Tracy Groves Suite 706,Elizabethfurt,OH,54997,GA451724,GA,2027-07-11,True,False,11,Clark Group Medical School,1992,"Stein-Silva Hospital, Smith, Gilmore and Johnston Hospital",Chinese,Address verification needed,2024-12-05,active,True
13,7844726763,Jennifer,Pittman,Dr. Jennifer Pittman,Endocrinology,(898)406-9901,jennifer.pittman@white-green.com,5564 King Common,Smithside,NC,07327,OH339970,NC,2028-06-26,True,True,14,Walker-Jones Medical School,2007,"Williams, Johnson and Wright Hospital, Howell and Sons Hospital",Spanish,,2024-06-16,active,False
14,8870328876,David,Caldwell,Dr. David Caldwell,Orthopedic Surgery,001-437-645-2991,david.caldwell@lane.org,3193 Heidi Hollow Apt. 905,Stanleyland,TX,66818,CA874206,PA,2026-03-11,True,True,38,"Peterson, Atkinson and Short Medical School",1981,"Hamilton LLC Hospital, Snow, Stevens and Hernandez Hospital, Gross Ltd Hospital",Hindi,,2025-02-06,active,False
15,8005048407,Joseph,Morton,Dr. Joseph Morton,Endocrinology,+1-677-969-4531,joseph.morton@christensen.org,349 Kennedy Pines Suite 685,Jacquelineview,MI,25543,NY933416,FL,2028-04-18,False,True,22,Allen Group Medical School,2003,"Peters-Allen Hospital, Brewer-Henry Hospital, Davis and Sons Hospital","Arabic, French, Chinese",Address verification needed,2025-10-14,active,True
16,1661260485,Kristopher,Hall,Dr. Kristopher Hall,Rheumatology,001-635-318-2337x4989,kristopher.hall@phillips.com,82400 Terry Crossroad Suite 109,Taylormouth,IL,45158,CA203757,TX,2026-07-09,False,True,1,Sheppard LLC Medical School,1995,Wilson-Jones Hospital,"Hindi, Arabic",Specialty verification needed,2025-06-27,active,True
17,8346342286,Travis,Ray,Dr. Travis Ray,Oncology,+1-502-829-4131x86999,travis.ray@kerr-evans.org,9361 Deborah Grove,North Brian,CA,21018,NY743345,CA,2028-08-04,False,True,38,Ortiz Ltd Medical School,2012,"Harrison, Johnson and Roberts Hospital, Warner-Gibson Hospital","French, Hindi, Spanish",Address verification needed,2024-10-02,active,True
